description|6|12|18|24|30|36|42|48|54|60|66|72|78|84|90|96|102|108|114|120
AEMIGFS Ensemble Mean (Interpolated 06 hours)|-|32.2 74.2 101|-|33.5 76.0 102|-|34.1 77.3 97|-|34.3 78.1 87|-|34.3 78.8 78|-|34.2 79.5 72|-|34.2 80.7 66|-|35.0 82.3 59|-|36.7 83.9 54|-|39.2 84.1 53
AVNIPrevious cycle GFS, adjusted (Interpolated 06 hours)|-|32.2 74.1 104|-|33.5 75.8 104|-|34.1 77.0 96|-|34.3 77.6 75|-|34.1 78.1 61|-|33.8 78.8 52|-|33.5 79.8 44|-|33.7 81.1 35|-|35.2 82.5 24|-|38.3 82.7 16
CEMICanadian model Ensemble Mean (Interpolated 06 hours)|-|32.1 74.2 106|-|33.4 75.9 105|-|34.0 77.2 100|-|34.3 78.0 94|-|34.3 78.6 90|-|34.4 79.4 87|-|34.7 80.9 82|-|35.5 82.5 78|-|36.6 83.7 74|-|38.0 83.8 71
CMCICanadian model (Interpolated 06 hours)|-|32.1 74.2 102|-|33.4 75.9 102|-|34.2 77.0 97|-|34.6 77.8 89|-|34.8 78.7 81|-|34.7 79.9 76|-|34.8 81.8 69|-|35.7 84.8 64|-|37.1 86.8 59|-|38.4 87.1 54
COTINRL COAMPS-TC model (Navy Regional Hurricane Model) (Interpolated 06 hours)|-|32.5 73.9 108|-|34.0 75.5 95|-|34.6 76.3 82|-|34.6 76.7 73|-|34.2 77.1 63|-|33.8 77.7 60|-|33.3 79.1 49|-|33.1 81.1 26|-|33.4 83.4 11|-|33.7 85.6
CTC2NRL COAMPS-TC 5km model (experimental version) (Interpolated 12 hours)|-|32.2 73.9 96|-|33.6 75.6 87|-|34.2 76.6 81|-|34.2 77.5 65|-|33.9 78.1 52|-|33.4 78.9 48|-|32.8 80.2 43|-|32.7 81.8 31|-|32.8 83.8 14|-|32.8 85.8 31
DRCLDeMaria Radii CLImatology and PERsistence (CLIPER) model|-|32.1 74.1 110|-|33.4 75.9 110|-|33.9 77.1 105|-|34.0 77.9 100|-|33.8 78.5 85|-|33.6 79.2 70|-|33.8 80.4 50|-|34.0 81.7 30|-|34.8 82.5 25|-|35.6 83.4 20
DSHPDecay Statistical Hurricane Intensity Prediction Scheme (SHIPS) model|-|32.1 74.1 110|-|33.3 75.7 112|-|33.9 77.0 105|-|34.0 77.6 98|-|33.9 78.1 87|-|33.7 78.6 81|-|33.7 79.6 53|-|33.9 81.1 36|-|34.5 82.2 30|-|35.3 83.1 28
EGRIUKMET model GTS (Official), with subjective quality control applied to the tracker (Interpolated 06 hours)|-|32.2 74.2 109|-|33.4 76.1 110|-|33.9 77.4 105|-|33.9 78.3 96|-|33.7 79.0 89|-|33.6 79.6 83|-|33.8 80.7 70|-|34.6 82.1 57|-|36.4 83.3 49|-|38.4 83.1 48
HMNIPrevious cycle HMON, adjusted (Interpolated 06 hours)|-|32.3 74.2 109|-|33.6 76.2 102|-|34.1 77.6 77|-|34.2 78.7 49|-|34.1 79.8 34|-|34.0 81.3 27|-|34.5 83.6 20|-|35.6 86.4 15|-|37.2 87.9 12|-|40.2 87.8 12
HWFIPrevious cycle HWRF, adjusted (Interpolated 06 hours)|-|32.3 74.2 106|-|33.5 76.1 109|-|34.0 77.8 89|-|34.0 79.2 61|-|33.7 80.4 46|-|33.7 81.7 40|-|34.4 83.5 37|-|36.0 85.6 31|-|38.0 86.4 22|-|40.3 85.3 20
ICONIntensity Consensus (For 2016, consensus of all: DSHP + LGEM + GHMI + HWFI)|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
IVCNIntensity Consensus (For 2017, consensus of at least two of: HWFI / CTCI / DSHP / LGEM)|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
IVRIIntensity Consensus (Consensus of five: DHSP / LGEM / GHMI / HWFI / CTCI / RI?? (RI25 or RI30 or RI35 or RI40)|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
LGEMSHIPS Logistic Growth Equation Model|-|32.1 74.1 109|-|33.3 75.7 109|-|33.9 77.0 102|-|34.0 77.6 92|-|33.9 78.1 84|-|33.7 78.6 78|-|33.7 79.6 53|-|33.9 81.1 35|-|34.5 82.2 29|-|35.3 83.1 27
NAMNorth American Mesoscale model|31.4 73.2 67|32.4 74.3 65|33.2 75.4 68|33.6 76.2 69|33.9 76.7 68|34.0 77.4 51|33.9 78.0 46|33.7 78.1 45|33.7 78.4 44|33.4 78.8 47|33.2 79.1 46|32.9 79.4 50|32.6 79.8 52|32.2 80.6 48|-|-|-|-|-|-
NAMINWS / NAM model (Interpolated 06 hours)|-|32.3 74.1 102|-|33.5 75.9 100|-|34.1 77.2 94|-|34.2 77.8 85|-|34.1 78.2 80|-|33.8 78.7 79|-|33.6 79.2 77|-|-|-|-|-|-
NGXINAVGEM [GFS tracker] (Interpolated 06 hours) - 2013 and later (previously version of NOGAPS)|-|32.4 73.8 109|-|33.8 75.2 118|-|34.2 76.0 119|-|34.0 76.5 112|-|33.5 76.8 111|-|32.9 77.5 113|-|32.4 78.5 115|-|32.4 79.8 110|-|33.1 81.4 88|-|34.7 82.9 62
NVGINAVGEM (Interpolated 06 hours)|-|32.4 73.8 109|-|33.8 75.2 118|-|34.3 76.0 119|-|34.1 76.5 112|-|33.6 76.9 111|-|33.0 77.5 114|-|32.5 78.4 118|-|32.4 79.8 111|-|33.1 81.4 87|-|34.7 82.9 61
OFCINational Hurricane Center (NHC) official forecast, in ATCF system and not from advisory data (Interpolated 06 hours)|-|32.0 74.1 114|-|33.1 75.8 113|-|33.8 76.9 104|-|33.9 77.7 92|-|33.8 78.2 81|-|33.8 78.9 66|-|33.8 79.9 48|-|34.1 81.0 33|-|34.6 82.2 22|-|35.4 82.8 16
RVCNR34 Wind Radii Consensus (For 2017 consensus composition: AHNI / EMXI / HHFI)|-|32.2 74.1 101|-|33.5 75.9 98|-|34.0 77.1 87|-|34.1 78.0 68|-|33.8 78.8 55|-|33.5 79.6 49|-|33.4 80.8 45|-|33.8 82.4 35|-|34.8 83.7 22|-|36.5 84.1 22
SHF5Statistical Hurricane Intensity Forecast (SHIFOR) intensity model 5-day|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-
SHIPStatistical Hurricane Intensity Prediction Scheme (SHIPS) model|-|32.1 74.1 110|-|33.3 75.7 112|-|33.9 77.0 105|-|34.0 77.6 98|-|33.9 78.1 87|-|33.7 78.6 81|-|33.7 79.6 73|-|33.9 81.1 66|-|34.5 82.2 55|-|35.3 83.1 48
TABDTrajectory and Beta Model, deep layer (NHC)|31.4 73.1|32.3 74.2|33.2 75.2|33.8 76.1|34.1 76.7|34.2 77.2|34.4 77.5|34.4 77.6|34.4 77.7|34.4 77.7|34.5 77.9|34.6 78.2|34.5 78.7|34.6 79.5|34.8 80.4|35.3 81.5|36.1 82.5|37.2 83.2|38.5 83.6|39.9 83.2
TABMTrajectory and Beta Model, medium layer (NHC)|31.3 73.2|32.1 74.3|32.8 75.3|33.4 76.0|33.7 76.6|33.9 77.1|34.0 77.4|34.2 77.5|34.2 77.7|34.2 78.0|34.2 78.5|34.1 79.1|33.9 79.8|33.6 80.6|33.6 81.4|33.8 82.1|34.3 82.8|35.1 83.2|36.3 83.4|37.6 83.0
TABSTrajectory and Beta Model, shallow layer (NHC)|31.3 73.2|32.1 74.4|32.8 75.4|33.3 76.2|33.7 77.1|33.9 77.8|33.9 78.3|33.7 78.7|33.5 78.9|33.3 79.1|33.1 79.4|32.8 79.5|32.7 79.8|32.7 80.5|32.8 81.3|33.0 82.0|33.5 82.9|34.2 83.5|35.3 83.7|36.4 83.4
TCLPTrajectory CLImatology and PERsistance (CLIPER) model 7-day|-|32.1 74.2 101|-|33.8 76.2 92|-|35.3 77.9 64|-|36.9 79.2 37|-|38.4 80.3 29|-|40.0 81.0 27|-|41.6 81.5 27|-|43.3 81.6 27|-|-|-|-
TCOAConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|32.2 74.2|-|33.5 76.0|-|34.0 77.4|-|34.1 78.4|-|33.9 79.2|-|33.7 80.0|-|33.9 81.3|-|34.8 82.9|-|36.5 84.1|-|39.0 83.7
TCOEConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|32.2 74.2|-|33.5 76.0|-|34.0 77.4|-|34.1 78.4|-|33.9 79.2|-|33.7 80.0|-|33.9 81.3|-|34.8 82.9|-|36.5 84.1|-|39.0 83.7
TCONConsensus Track Guidance (For 2016, consensus of all: AVNI / EGRI / GHMI / HWFI)|-|32.2 74.2|-|33.5 76.0|-|34.0 77.4|-|34.1 78.4|-|33.9 79.2|-|33.7 80.0|-|33.9 81.3|-|34.8 82.9|-|36.5 84.1|-|39.0 83.7
TVCAConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI)|-|32.2 74.1|-|33.5 75.9|-|34.0 77.2|-|34.0 78.1|-|33.8 78.8|-|33.5 79.6|-|33.5 80.8|-|34.0 82.3|-|35.2 83.6|-|36.9 83.9
TVCEConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI / NGPI)|-|32.2 74.1|-|33.5 75.9|-|34.0 77.2|-|34.0 78.2|-|33.8 78.9|-|33.6 79.8|-|33.6 81.0|-|34.1 82.7|-|35.3 84.0|-|37.1 84.4
TVCNConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXI / HWFI / CTCI / EGRI)|-|32.2 74.1|-|33.5 75.9|-|34.0 77.2|-|34.0 78.1|-|33.8 78.8|-|33.5 79.6|-|33.5 80.8|-|34.0 82.3|-|35.2 83.6|-|36.9 83.9
TVCXConsensus Track Guidance (For 2017, consensus of at least two of: AVNI / EMXIx2 / HWFI / CTCI / EGRI)|-|32.2 74.1|-|33.5 75.9|-|34.0 77.1|-|34.0 78.1|-|33.7 78.8|-|33.4 79.5|-|33.3 80.6|-|33.8 82.1|-|34.9 83.4|-|36.5 83.7
UKXIUKMET [GFS tracker] (Interpolated 06 hours)|-|32.3 74.1 109|-|33.6 76.0 103|-|34.1 77.4 100|-|34.1 78.4 94|-|34.0 79.1 90|-|33.9 79.7 87|-|34.1 80.7 77|-|34.8 82.1 67|-|36.8 83.4 61|-|38.7 84.7 54
XTRPA simple extrapolation using past 12-hr motion|-|32.1 74.2|-|33.8 76.7|-|35.5 79.3|-|37.2 81.9|-|38.9 84.5|-|40.6 87.3|-|42.3 90.0|-|44.0 92.9|-|45.6 95.9|-|47.3 98.9
AC00GFS Ensemble Control Member|31.4 73.1 68|32.3 74.2 63|33.0 75.2 66|33.6 76.1 72|33.9 76.7 74|34.0 77.2 65|34.2 77.7 58|34.3 78.1 57|34.3 78.3 50|34.2 78.7 43|34.1 79.0 40|34.0 79.6 36|33.9 80.0 36|33.9 80.9 33|34.2 81.6 28|34.9 82.4 18|36.2 83.8 16|37.6 84.5 18|39.1 84.7 17
AEMNGFS Ensemble Mean|31.4 73.1 66|32.3 74.3 63|33.0 75.3 64|33.6 76.2 68|33.9 76.8 68|34.1 77.4 62|34.2 77.8 55|34.3 78.3 52|34.3 78.4 47|34.3 78.8 42|34.3 79.1 38|34.2 79.5 36|34.1 79.8 34|34.1 80.7 31|34.3 81.5 27|34.8 82.3 23|35.4 83.1 20|36.6 84.2 18|37.9 84.7 16
AP01GFS Ensemble +01 member|31.4 72.8 64|32.4 74.0 61|33.1 74.9 64|33.7 76.0 71|34.1 76.6 62|34.2 77.4 56|34.3 77.9 53|34.4 78.3 51|34.5 78.4 46|34.7 78.8 39|34.7 79.3 35|34.6 80.0 31|34.7 80.6 27|34.9 81.5 24|35.9 82.8 18|37.0 84.2 20|38.1 85.1 20|39.7 85.4 19|41.8 84.7 22
AP02GFS Ensemble +02 member|31.2 73.4 67|32.0 74.7 62|32.7 75.7 63|33.3 76.7 68|33.6 77.4 70|33.8 78.2 63|34.0 78.7 54|34.0 79.2 53|34.1 79.3 47|34.1 79.7 39|33.9 79.9 35|33.9 80.4 31|33.8 81.0 28|33.7 82.1 27|34.0 83.2 24|34.7 84.6 16|35.9 85.7 15|37.2 86.5 15|38.3 86.7 15
AP03GFS Ensemble +03 member|31.4 72.7 65|32.3 73.9 61|33.0 74.8 64|33.4 75.7 70|33.6 76.2 76|33.6 76.5 75|33.7 76.9 67|33.9 77.1 64|33.9 77.3 62|33.9 77.7 53|33.9 77.9 50|33.9 78.2 47|33.8 78.4 46|33.9 79.0 44|34.2 79.6 39|34.7 80.4 30|35.2 81.2 22|36.3 82.3 18|37.5 82.9 15
AP04GFS Ensemble +04 member|31.6 73.2 67|32.6 74.3 68|33.4 75.1 66|34.0 75.9 76|34.4 76.2 68|34.7 76.5 64|34.8 76.9 58|34.7 77.1 56|34.7 77.3 49|34.6 77.6 46|34.6 78.0 41|34.4 78.6 39|34.4 79.0 37|34.3 79.7 33|34.6 80.5 26|35.3 81.5 20|36.7 83.1 18|37.9 84.6 19|39.0 85.1 17
AP05GFS Ensemble +05 member|31.4 73.1 65|32.2 74.2 63|32.8 75.1 64|33.3 75.7 68|33.6 76.1 75|33.6 76.4 71|33.7 76.6 66|33.7 76.9 65|33.7 77.1 64|33.5 77.6 57|33.3 78.0 58|33.0 78.6 56|32.8 79.1 57|32.7 80.1 47|32.9 80.9 43|33.4 81.9 33|34.1 82.6 25|35.6 83.8 17|37.2 83.9 16
AP06GFS Ensemble +06 member|31.6 73.2 66|32.6 74.4 64|33.4 75.3 61|34.1 76.3 66|34.4 77.0 66|34.6 77.6 55|34.8 78.1 49|34.9 78.5 44|34.9 78.6 38|34.9 79.0 33|34.9 79.4 27|35.1 80.0 25|35.2 80.6 21|35.2 81.9 15|35.7 83.5 11|36.1 84.8 12|36.8 85.7 14|37.7 86.7 17|38.9 87.1 16
AP07GFS Ensemble +07 member|31.2 73.3 69|32.0 74.6 64|32.6 75.9 60|32.8 77.2 65|33.1 78.0 72|33.1 78.9 63|33.2 79.6 54|33.2 80.4 50|33.2 80.6 43|33.3 81.2 36|33.4 81.6 31|33.4 82.2 27|33.5 82.5 26|33.4 83.4 21|33.6 84.2 17|34.0 84.8 14|34.5 85.3 13|35.9 86.3 10|37.3 86.7 10
AP08GFS Ensemble +08 member|31.2 72.8 67|31.9 73.7 64|32.7 74.5 68|33.3 75.4 67|33.6 76.0 75|33.7 76.5 70|33.8 77.0 63|33.8 77.4 60|33.9 77.6 56|33.8 77.9 50|33.7 78.1 48|33.7 78.5 46|33.6 78.8 46|33.6 79.6 40|33.7 80.2 37|33.9 80.9 30|34.4 81.5 27|35.3 82.4 17|37.0 83.0 15
AP09GFS Ensemble +09 member|31.5 73.1 63|32.3 74.2 61|33.1 75.1 65|33.7 75.9 71|34.0 76.5 71|34.2 76.9 68|34.6 77.2 57|34.7 77.6 54|34.7 77.8 51|34.5 78.2 42|34.4 78.4 39|34.3 78.8 35|34.2 79.2 34|34.2 80.2 31|34.5 81.1 26|35.3 82.3 18|36.6 83.8 16|37.6 85.0 21|38.7 85.7 20
AP10GFS Ensemble +10 member|31.3 73.4 68|32.2 74.8 67|33.1 76.0 65|33.5 77.2 67|33.8 78.2 66|33.9 79.2 55|34.1 80.1 41|34.2 80.7 37|34.3 81.0 34|34.4 81.6 29|34.5 82.1 23|34.5 82.9 21|34.4 83.3 20|34.7 84.9 17|35.3 86.0 15|36.1 86.7 14|37.1 87.1 11|38.4 87.2 16|39.8 86.6 19
AP11GFS Ensemble +11 member|31.2 72.8 65|32.1 73.8 62|32.7 74.6 62|33.3 75.4 64|33.6 75.7 72|33.9 76.2 63|34.1 76.3 64|34.2 76.7 61|34.1 76.6 57|34.1 76.7 55|34.0 76.7 55|33.8 76.8 55|33.7 76.9 60|33.6 77.5 54|33.5 77.9 55|33.7 78.6 54|34.0 79.2 44|34.4 80.1 36|35.3 80.6 28
AP12GFS Ensemble +12 member|31.7 73.3 67|32.8 74.6 61|33.5 75.6 61|34.1 76.6 61|34.5 77.1 55|34.8 77.6 50|35.1 77.7 45|35.2 78.0 38|35.1 78.0 37|35.3 77.8 37|35.2 78.0 35|35.0 78.0 33|34.8 77.9 29|34.7 78.5 31|34.6 78.9 29|34.7 79.4 27|34.8 80.3 23|35.7 82.0 16|37.2 83.6 16
AP13GFS Ensemble +13 member|31.2 72.9 67|32.0 74.0 65|32.6 74.9 67|33.0 75.9 73|33.3 76.4 71|33.4 77.0 67|33.6 77.5 64|33.6 77.9 64|33.6 78.2 62|33.5 78.7 55|33.4 79.0 51|33.4 79.4 48|33.3 79.8 43|33.3 80.5 39|33.4 81.0 36|33.6 81.7 30|34.2 82.3 27|35.3 83.3 21|37.1 83.7 18
AP14GFS Ensemble +14 member|31.4 73.3 67|32.1 74.5 64|32.8 75.5 64|33.4 76.5 70|33.7 77.1 71|33.9 77.8 62|34.1 78.4 58|34.1 78.9 56|34.1 79.1 48|34.0 79.5 41|33.9 80.0 37|34.0 80.6 32|33.9 81.3 27|33.9 82.5 23|34.5 83.6 19|35.8 84.9 17|37.1 85.8 15|38.4 86.3 18|39.8 86.3 18
AP15GFS Ensemble +15 member|31.4 73.5 67|32.3 74.8 67|33.0 75.8 68|33.6 76.9 71|33.9 77.7 65|34.1 78.6 56|34.0 79.2 52|34.1 79.7 45|34.0 79.9 38|33.9 80.4 32|33.8 80.7 27|33.7 81.3 25|33.4 81.7 24|33.4 82.7 24|33.5 83.6 19|33.7 84.1 19|34.2 84.5 17|35.6 85.6 14|37.5 86.4 15
AP16GFS Ensemble +16 member|31.4 73.1 70|32.2 74.2 63|32.9 75.2 62|33.5 76.1 67|33.8 76.6 73|34.0 77.2 63|34.2 77.6 55|34.3 78.1 53|34.2 78.3 46|34.1 78.9 40|34.0 79.2 37|33.9 79.7 38|33.9 80.0 37|33.8 80.8 34|34.0 81.2 29|34.3 81.8 22|34.8 82.3 17|35.8 84.2 12|36.3 85.4 10
AP17GFS Ensemble +17 member|31.5 73.1 64|32.4 74.4 62|33.1 75.4 66|33.6 76.4 70|33.9 77.0 61|34.2 77.6 56|34.5 78.1 47|34.6 78.5 42|34.7 78.6 40|34.7 79.0 33|34.8 79.3 30|34.8 79.4 27|34.8 79.5 25|34.6 80.0 28|34.7 80.4 28|34.9 80.8 24|35.2 81.3 20|36.0 82.2 12|37.1 83.9 11
AP18GFS Ensemble +18 member|31.5 73.3 64|32.4 74.7 61|33.1 75.8 61|33.6 76.8 64|34.0 77.6 61|34.3 78.4 54|34.6 79.0 45|34.7 79.6 35|34.8 79.9 27|34.9 80.2 24|35.0 80.5 20|35.0 80.7 20|34.9 80.9 17|34.7 81.6 16|34.4 82.3 14|34.3 82.4 15|34.2 82.5 16|-|-
AP19GFS Ensemble +19 member|31.4 73.1 68|32.3 74.2 62|33.1 75.3 64|33.6 76.3 70|33.9 77.0 69|34.1 77.6 60|34.2 78.1 56|34.2 78.4 53|34.3 78.4 49|34.4 78.6 42|34.3 78.8 40|34.3 79.2 35|34.3 79.6 33|34.2 80.6 30|34.3 81.6 24|34.9 82.5 18|36.2 84.4 15|37.3 85.1 17|38.1 85.7 16
AP20GFS Ensemble +20 member|31.8 72.9 65|32.8 73.9 63|33.6 74.6 65|34.4 75.2 69|34.8 75.5 67|35.2 75.9 61|35.4 76.0 55|35.6 76.2 54|35.6 76.2 52|35.5 76.3 47|35.4 76.4 46|35.2 76.7 42|34.9 76.9 41|34.6 77.4 37|34.6 78.0 33|34.6 78.7 32|34.7 79.3 28|35.1 80.1 25|35.9 80.5 16
AVNONWS / Global Forecast System (GFS model)|31.4 73.2 90|32.3 74.3 87|33.1 75.2 82|33.6 76.1 91|34.0 76.6 100|34.2 77.1 85|34.3 77.5 71|34.3 77.8 62|34.3 77.9 56|34.1 78.2 50|34.0 78.4 48|33.9 78.8 45|33.6 79.2 42|33.3 79.9 38|33.3 80.5 36|33.5 81.2 33|33.9 81.9 28|34.7 82.8 20|36.4 83.3 18
CEM2Canadian model Ensemble Mean (Interpolated 12 hours)|31.2 73.2 113|-|32.8 75.3 112|-|33.8 76.7 110|-|34.5 77.4 105|-|34.8 77.8 101|-|34.9 78.5 97|-|35.0 79.7 92|-|35.4 81.3 88|-|36.1 82.9 85|-|37.0 83.7 83
CEMNCanadian model Ensemble Mean|31.4 73.3 52|32.2 74.5 52|32.9 75.4 52|33.5 76.2 53|33.9 76.8 51|34.1 77.4 47|34.2 77.8 43|34.3 78.2 40|34.4 78.4 37|34.3 78.7 37|34.3 79.0 36|34.4 79.5 34|34.4 80.1 31|34.7 81.0 28|35.0 81.9 26|35.4 82.7 25|35.9 83.4 23|36.7 84.1 20|37.3 84.2 19
CMCGlobal Environmental Multiscale (GEM) model from the Canadian Meteorological Centre (Canadian model)|31.3 73.2 58|32.1 74.5 57|32.8 75.3 58|33.5 76.1 60|33.9 76.7 58|34.3 77.2 53|34.6 77.5 50|34.6 78.0 46|34.8 78.2 42|34.8 78.7 36|34.7 79.2 34|34.6 79.9 32|34.6 80.6 31|34.6 81.7 26|34.8 82.9 20|35.5 85.4 21|36.5 86.5 20|37.2 87.4 14|37.8 87.0 11
